title,selectable
Localism Act 2011 section 100(a),TRUE
Education (Inner London Education Authority) (Property Transfer) Order 1990,TRUE
Small Dwellings Acquisition Act 1899,TRUE
Acquisition of Land Act 1981 section 15(6),TRUE
Civil Aviation Act 1968 section 21,TRUE
Housing Act 2004 section 129(7),TRUE
Public Health Act 1936 section 29,TRUE
Public Health Act 1936 section 46,TRUE
Building Act 1984 section 22,TRUE
"Housing Grants, Construction and Regeneration Act 1996 section 88",TRUE
Housing Act 2004 section 49,TRUE
Transport and Works Act 1992 Part 1 section 14A(6),TRUE
Highways Act 1980 section 212,TRUE
Highways Act 1980 section 133,TRUE
Highways Act 1959,TRUE
Water Industry Act 1991 section 82,TRUE
Planning (Hazardous Substances) Act 1990 section 10,TRUE
Public Health Act 1936 section 39,TRUE
Housing Act 1985 section 189,TRUE
Countryside Act 1968 section 28,TRUE
Building Act 1984 section 69,TRUE
Wildlife and Countryside Act 1981 section 28,FALSE
Care of Churches and Ecclesiastical Jurisdiction Measure 1991 (No. 1) section 22(8),TRUE
Conservation (Natural Habitats) regulations 1994 regulation 11,TRUE
Housing Act 1985 part IX sub-section 265,FALSE
New Towns Act 1981 section 1(5),TRUE
"Housing Grants, Construction and Regeneration Act 1996 section 52",TRUE
Housing Act 1985 section 37(1),TRUE
Civil Aviation Act 1971 section 16(2),TRUE
Public Health Act 1936 section 47,TRUE
Civil Aviation Act 1982 section 46(1),TRUE
Water Industry Act 1991 section 156,TRUE
Highways Act 1980 section 35,TRUE
Housing Act 1985 section 264,TRUE
Coast Protection Act 1949 section 8,TRUE
Town and Country Planning (General Permitted Development) Order 1995,TRUE
Public Health Act 1936 section 60,TRUE
General Rate Act 1967,TRUE
Building Act 1984 section 76,TRUE
Planning Act 2008 section 134(6A),TRUE
Town and Country Planning Act 1954 sub-section 28,FALSE
Building Act 1984 section 65,TRUE
Land Powers (Defence) Act 1958 section 17,TRUE
Housing Act 1985 section 229,TRUE
Disused Burial Grounds (Amendment) Act 1981 section 2(4),TRUE
Historic Buildings and Ancient Monuments Act 1953,TRUE
Planning Act 2008 section 205,TRUE
New Streets Act 1957,TRUE
Housing Act 1988 section 2A,TRUE
War Damage Act 1943 section 20,TRUE
Education (London Residuary Body) (Property Transfer) Order 1991,TRUE
Highways Act 1980 section 73,TRUE
Housing Act 1985 schedule 18,TRUE
Pastoral Measure 1968,TRUE
Anti-Social Behaviour Act 2003 section 77(3),TRUE
Opencast Coal Act 1958 sub-section 16(6),FALSE
Housing Act 2004 sub-section 21,FALSE
Public Utilities and Street Works Act 1950,TRUE
Public Health Act 1936 section 45,TRUE
Planning (Listed Buildings and Conservation Areas) Act 1990 section 17,TRUE
Housing Act 2004 section 50,TRUE
Housing Act 1985 section 190,TRUE
Agriculture (Miscellaneous Provisions) Act 1941 section 8(4),TRUE
Housing Act 1985 part IX section 265,TRUE
Public Health Act 1936 section 295,TRUE
Town and Country Planning (Control of Advertisements) regulations 1984 SI 1984/421,TRUE
Housing Act 1985,TRUE
Town and Country Planning Act 1990 section 70,TRUE
Civil Aviation Act 1982 section 44,TRUE
Land Compensation Act 1973 section 8(4),TRUE
Public Health Act 1936 section 36,TRUE
Highways Act 1980 section 177,TRUE
Acquisition of Land Act 1981 schedule 1 paragraph 6,TRUE
Water Industry Act 1991 section 158,TRUE
Highways Act 1980 section 152,TRUE
Highways Act 1959 section 189,TRUE
Planning (Hazardous Substances) Act 1990 section 24,TRUE
Public Health Act 1875 sub-section 26,FALSE
Housing Act 1996 section 13,TRUE
Building Act 1984 section 82,TRUE
New Streets Act 1951,TRUE
Town and Country Planning Act 1990 section 97,TRUE
Control of Pollution Act 1974,TRUE
Highways Act 1980 section 147,TRUE
Development of Rural Wales Act 1976,TRUE
Town and Country Planning Act 1971,TRUE
Housing Act 1985 section 156A,TRUE
Town and Country Planning Act 1990 section 131,TRUE
Wildlife and Countryside Act 1981 section 34,TRUE
Prevention of Damage by Pests Act 1949 section 7,TRUE
Building Act 1984 section 71,TRUE
Housing Act 1985 section 370,TRUE
Local Land Charges Act 1977 section 6(2),FALSE
